Band_Index,Wavelength_nm,Dice_Score
191,821.979,0.018002847363464646
201,844.155,0.018000751864888958
197,835.284,0.01800033276517382
202,846.372,0.017999494565743544
185,808.674,0.017995303568592164
189,817.544,0.017994884468877027
206,855.243,0.01799278897030134
194,828.632,0.017989855272295373
208,859.678,0.01798189237770775
181,799.803,0.017980635078562335
165,764.322,0.017977282280841233
196,833.067,0.01797392948312013
187,813.109,0.017973510383404993
200,841.937,0.017971833984544442
183,804.238,0.017970157585683887
199,839.72,0.017966804787962785
188,815.326,0.017963032890526545
171,777.627,0.017955489095654063
198,837.502,0.017954650896223785
179,795.368,0.01795339359707837
177,790.933,0.017952555397648097
173,782.063,0.01795004079935727
175,786.498,0.017943335203915063
190,819.761,0.017943335203915063
164,762.104,0.01794123970533937
192,824.197,0.017938306007333406
167,768.757,0.01793411501018203
186,810.891,0.01792950491331551
184,806.456,0.017921122919012752
169,773.192,0.017919865619867338
178,793.15,0.017910645426134304
182,802.021,0.017908969027273753
161,755.452,0.01790687352869806
172,779.845,0.017906458181278687
174,784.28,0.017902263431831544
180,797.586,0.01790100613268613
176,788.715,0.017900587032970993
163,759.887,0.017894719636959062
159,751.016,0.017892624138383374
157,746.581,0.017892624138383374
155,742.146,0.017890947739522822
170,775.41,0.017885499443226028
158,748.799,0.017882565745220062
153,737.711,0.017881731292904032
156,744.364,0.01788172754578979
160,753.234,0.017881308446074648
154,739.929,0.017871669152626477
166,766.539,0.017865801756614546
152,735.493,0.01785909616117234
151,733.276,0.01785700066259665
168,770.975,0.017855743363451235
162,757.669,0.017844008571427376
149,728.841,0.01783688387627003
150,731.058,0.017779467215296135
148,726.623,0.01775599763124841
147,724.405,0.01775432123238786
146,722.188,0.017622304822119413
145,719.97,0.017595063340635448
144,717.753,0.017487773813560138
143,715.535,0.017341088913261866
142,713.318,0.017234637585616833
141,711.1,0.017104716673924075
140,708.882,0.016887203921767496
70,553.652,0.01682350076506653
73,560.304,0.01681972886763029
69,551.434,0.01681930976791515
72,558.087,0.016818890668200012
71,555.869,0.0167966783832977
68,549.217,0.016786200890419253
74,562.522,0.016776142497255946
67,546.999,0.016769856001528877
139,706.665,0.01675937850865043
75,564.74,0.016749320115487118
66,544.781,0.016745129118335738
76,566.957,0.016721659534288013
65,542.564,0.016717468537136636
63,538.129,0.01663993508983612
77,569.175,0.016637843077718078
64,540.346,0.01663574409268474
78,571.392,0.01660556891319481
79,573.61,0.016565335340541568
62,535.911,0.016541446656778706
